Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot,Income
Bachelors,2016,Pune,3,28,Male,No,1,0,57029
Masters,2013,Bangalore,1,25,Male,No,3,1,100518
Bachelors,2015,Pune,3,26,Male,No,4,0,142036
Bachelors,2018,New,Delhi,3,27,Female,No,5,147202
Bachelors,2016,Bangalore,3,24,Male,No,2,1,124359
Bachelors,2012,Pune,2,24,Female,No,2,1,145125
Bachelors,2014,Bangalore,3,26,Male,No,4,0,70914
Bachelors,2016,Pune,2,24,Female,No,2,1,130890
Masters,2012,New,Delhi,3,26,Female,No,4,92651
Bachelors,2013,Bangalore,3,28,Female,No,3,0,69366
Bachelors,2012,Bangalore,3,24,Male,No,2,1,136674
Bachelors,2015,Bangalore,3,25,Male,No,3,1,130936
Bachelors,2016,Bangalore,3,28,Male,No,3,0,98806
Bachelors,2014,Bangalore,3,28,Female,No,3,0,86325
Bachelors,2013,Bangalore,3,26,Female,No,4,0,108635
Masters,2017,New,Delhi,3,24,Female,No,2,119230
Bachelors,2016,Bangalore,3,25,Male,No,3,1,125274
Bachelors,2015,Bangalore,3,25,Male,No,3,0,74274
Bachelors,2014,Bangalore,3,27,Male,No,5,0,112990
Bachelors,2012,Bangalore,3,24,Male,No,2,0,57474
Bachelors,2014,Bangalore,3,25,Male,No,3,0,55153
Bachelors,2015,Bangalore,3,28,Male,No,3,0,98869
Masters,2015,New,Delhi,3,26,Male,No,4,103413
Bachelors,2014,New,Delhi,3,28,Female,No,1,115560
Bachelors,2015,Pune,3,25,Male,No,3,0,132888
Masters,2015,Pune,2,28,Female,No,2,0,56817
Bachelors,2014,Bangalore,3,27,Female,No,5,0,127923
Bachelors,2013,Bangalore,3,26,Male,No,4,0,89280
Bachelors,2016,Bangalore,3,26,Male,No,4,0,66521
Bachelors,2012,Bangalore,3,25,Male,No,3,0,148119
Bachelors,2015,Bangalore,3,25,Male,No,3,0,116517
Bachelors,2014,New,Delhi,3,24,Female,No,2,132390
Bachelors,2012,Bangalore,3,27,Male,No,5,1,114870
Masters,2017,New,Delhi,3,27,Male,No,5,73881
Bachelors,2015,Pune,3,27,Male,No,5,0,125503
Bachelors,2018,Bangalore,3,24,Male,No,2,1,96238
Masters,2017,New,Delhi,3,27,Male,No,5,73884
Masters,2017,New,Delhi,2,28,Female,No,1,135303
Masters,2017,Pune,2,24,Male,No,2,1,81050
Masters,2016,New,Delhi,3,25,Female,No,3,88767
PHD,2015,New,Delhi,3,28,Female,No,1,59627
Bachelors,2017,New,Delhi,2,26,Male,No,4,96697
Bachelors,2013,Bangalore,2,27,Male,No,5,0,74124
Bachelors,2015,Bangalore,3,26,Male,No,4,0,83793
Bachelors,2015,Bangalore,3,26,Male,No,4,0,94327
Bachelors,2013,Bangalore,3,28,Male,No,1,0,133041
Bachelors,2015,Bangalore,3,27,Female,No,5,0,57584
Bachelors,2013,New,Delhi,3,25,Female,No,3,97408
Bachelors,2013,Pune,3,28,Male,No,1,0,92351
Bachelors,2017,Pune,3,24,Male,No,2,0,123140
Bachelors,2013,New,Delhi,3,27,Female,No,5,60778
Bachelors,2015,Bangalore,3,28,Male,Yes,2,0,62865
Bachelors,2015,Pune,3,28,Male,No,3,0,132089
Bachelors,2014,Pune,2,25,Female,No,3,1,106510
Bachelors,2014,Bangalore,3,25,Male,No,3,0,117105
Bachelors,2017,Bangalore,3,27,Male,No,5,0,133563
Bachelors,2014,Pune,2,26,Female,No,4,1,65167
PHD,2013,New,Delhi,3,24,Male,No,2,66660
Bachelors,2015,Pune,2,26,Female,No,4,1,89444
Bachelors,2017,Bangalore,3,25,Male,No,3,0,58642
Masters,2013,Pune,2,27,Male,No,5,1,110155
Masters,2017,Bangalore,3,28,Male,No,2,0,68018
Bachelors,2012,Bangalore,3,25,Male,No,3,1,65128
Bachelors,2017,Bangalore,3,27,Male,No,5,0,114085
Masters,2017,Pune,2,27,Female,No,5,0,110331
Masters,2013,Bangalore,2,28,Female,No,2,1,78807
Masters,2017,Pune,3,28,Male,No,1,1,98027
Bachelors,2018,Bangalore,3,27,Female,No,5,1,130592
Bachelors,2014,New,Delhi,3,25,Female,No,3,89080
Masters,2017,New,Delhi,3,27,Male,No,5,75005
Masters,2013,New,Delhi,3,26,Male,No,4,103891
Bachelors,2013,Pune,2,25,Female,No,3,1,140563
Masters,2012,New,Delhi,3,26,Male,No,4,56324
Bachelors,2016,Bangalore,3,25,Male,No,3,1,65375
Bachelors,2013,Pune,2,26,Male,No,4,0,79999
Bachelors,2018,Bangalore,3,28,Female,No,2,1,85853
Bachelors,2013,Bangalore,3,27,Male,No,5,0,59078
Bachelors,2015,Pune,1,24,Female,Yes,2,1,111836
Bachelors,2013,Pune,3,28,Male,No,2,0,132499
Bachelors,2015,Pune,2,27,Female,Yes,5,1,139469
Bachelors,2018,Bangalore,3,25,Male,No,3,1,146587
Bachelors,2014,Pune,2,27,Female,No,5,1,80151
Bachelors,2013,Pune,3,24,Male,No,2,0,148967
Bachelors,2014,Pune,3,24,Male,No,2,0,98150
PHD,2015,New,Delhi,2,25,Female,No,3,94994
Bachelors,2014,Bangalore,3,26,Male,Yes,4,0,86508
Bachelors,2018,Bangalore,3,24,Male,No,2,1,113114
Masters,2015,Pune,2,25,Female,No,3,0,90204
Bachelors,2015,Bangalore,3,24,Male,No,2,0,112077
Bachelors,2014,New,Delhi,3,24,Female,No,2,103794
Masters,2017,Bangalore,2,26,Female,No,4,1,73487
Bachelors,2012,New,Delhi,3,28,Male,No,1,99258
Masters,2017,Pune,2,26,Female,No,4,0,139409
Bachelors,2016,Pune,3,25,Male,No,3,0,125561
Bachelors,2017,New,Delhi,3,24,Male,No,2,110838
Bachelors,2013,Pune,2,28,Female,No,3,1,76389
Bachelors,2014,Bangalore,3,25,Female,No,3,1,86095
Bachelors,2014,Bangalore,3,25,Male,No,3,0,130710
Bachelors,2014,Pune,2,24,Female,No,2,1,58196
Bachelors,2015,Bangalore,3,28,Male,No,2,1,123502
Bachelors,2015,Bangalore,3,27,Male,No,5,0,65725
Bachelors,2016,Pune,3,26,Male,No,4,0,148177
Masters,2015,New,Delhi,3,26,Female,No,4,109073
Bachelors,2016,Bangalore,1,28,Female,No,2,0,72411
Bachelors,2014,Bangalore,3,25,Male,Yes,3,0,105395
Bachelors,2014,Bangalore,3,27,Male,No,5,0,99065
Bachelors,2017,Bangalore,3,28,Male,No,2,0,62571
Masters,2018,New,Delhi,3,24,Female,Yes,2,110182
Bachelors,2017,Pune,2,25,Male,No,3,0,101162
Bachelors,2018,Pune,2,24,Female,No,2,1,72679
Masters,2017,New,Delhi,2,28,Female,No,1,65582
Bachelors,2013,New,Delhi,1,27,Female,No,5,108970
Bachelors,2017,New,Delhi,2,27,Female,No,5,67236
Bachelors,2017,Bangalore,3,28,Male,No,1,0,77291
Bachelors,2016,Pune,2,27,Female,No,5,1,109525
Masters,2018,Bangalore,3,24,Male,No,2,1,109251
Bachelors,2012,Pune,1,26,Male,No,4,0,92197
Bachelors,2016,Bangalore,3,26,Male,No,4,0,127199
Masters,2016,New,Delhi,1,27,Male,No,5,117610
Bachelors,2015,New,Delhi,3,26,Female,No,4,109910
Bachelors,2012,Bangalore,3,27,Male,Yes,5,0,80748
Bachelors,2013,Bangalore,3,24,Male,Yes,2,1,103177
Bachelors,2018,Bangalore,3,26,Female,No,4,1,146286
Masters,2017,Pune,2,26,Female,No,4,1,98247
Masters,2017,New,Delhi,2,28,Female,No,2,102601
Bachelors,2013,Pune,3,28,Male,No,1,0,147651
Masters,2013,New,Delhi,3,25,Male,No,3,90620
Bachelors,2018,Bangalore,3,28,Female,Yes,1,1,60869
Bachelors,2013,Pune,3,27,Female,No,5,1,77710
Bachelors,2012,Bangalore,3,25,Male,No,3,0,84865
Bachelors,2014,Bangalore,3,28,Male,No,1,0,89252
Bachelors,2017,New,Delhi,3,28,Female,No,3,140632
Masters,2017,New,Delhi,2,28,Male,Yes,2,71119
Bachelors,2014,Bangalore,3,25,Male,No,3,0,83360
Masters,2017,New,Delhi,3,26,Male,No,4,58179
Bachelors,2015,Pune,1,25,Female,No,3,1,66593
Masters,2013,New,Delhi,3,27,Male,No,5,109005
PHD,2014,Bangalore,3,24,Female,No,2,0,120552
Masters,2017,New,Delhi,2,27,Female,No,5,143318
Bachelors,2018,Bangalore,3,26,Male,No,4,1,72467
Bachelors,2012,Bangalore,3,26,Male,No,4,0,141040
Masters,2015,Pune,3,27,Female,No,5,1,117818
Bachelors,2018,Bangalore,3,26,Male,No,4,1,80860
Bachelors,2016,Bangalore,3,24,Male,No,2,0,81635
Masters,2017,New,Delhi,2,25,Female,No,3,139040
Bachelors,2017,New,Delhi,2,28,Male,No,1,81777
Bachelors,2012,New,Delhi,3,27,Female,No,5,149164
Masters,2013,New,Delhi,3,26,Male,No,4,129734
Bachelors,2015,Bangalore,3,26,Female,Yes,4,1,149146
Bachelors,2014,Pune,3,28,Male,No,2,0,84614
Bachelors,2016,Bangalore,3,24,Female,No,2,1,55923
Bachelors,2012,Bangalore,3,28,Male,No,3,0,93094
Bachelors,2012,Bangalore,3,27,Male,No,5,0,92262
Bachelors,2013,Bangalore,3,26,Male,No,4,0,98536
Bachelors,2014,New,Delhi,3,28,Female,No,1,107325
Bachelors,2014,New,Delhi,3,27,Female,Yes,5,144099
Bachelors,2015,Pune,3,26,Female,Yes,4,1,95954
Masters,2014,New,Delhi,3,26,Male,No,4,117500
PHD,2015,New,Delhi,3,25,Female,No,3,119342
Masters,2015,New,Delhi,3,25,Male,No,3,133983
Bachelors,2012,Pune,3,27,Male,No,5,0,139709
Masters,2017,New,Delhi,2,24,Female,No,2,103945
Bachelors,2016,Bangalore,3,24,Male,No,2,0,137270
Masters,2015,Pune,3,28,Female,No,2,0,119569
Bachelors,2017,Bangalore,3,24,Female,No,2,0,107375
Bachelors,2017,Pune,3,25,Male,No,3,0,59639
Bachelors,2017,Bangalore,1,25,Male,No,3,0,101017
Masters,2015,Pune,3,28,Female,No,2,0,89167
Bachelors,2017,Pune,3,26,Male,No,4,0,80659
Bachelors,2014,Pune,3,24,Male,No,2,0,126556
Bachelors,2014,Pune,3,25,Female,No,3,1,124195
Bachelors,2018,Pune,3,26,Female,No,4,1,124399
Bachelors,2016,Bangalore,3,27,Male,No,5,0,137960
Bachelors,2017,Bangalore,3,28,Female,No,2,0,148413
Bachelors,2012,Pune,3,28,Male,No,2,0,144102
Masters,2012,New,Delhi,3,24,Female,No,2,66519
Bachelors,2013,Bangalore,3,26,Male,No,4,0,85519
Bachelors,2015,New,Delhi,3,26,Female,Yes,4,67732
Bachelors,2017,Bangalore,3,28,Male,No,1,0,142240
Bachelors,2018,Pune,3,25,Male,Yes,3,1,59796
Masters,2017,New,Delhi,3,24,Male,No,2,83682
Bachelors,2013,Bangalore,3,28,Male,No,2,1,125133
Bachelors,2017,Bangalore,3,24,Male,No,2,0,113482
Masters,2017,New,Delhi,2,25,Female,No,3,91335
Bachelors,2013,Pune,2,28,Female,No,1,1,142081
Bachelors,2015,Bangalore,3,24,Female,No,2,0,74497
Bachelors,2016,Pune,3,26,Male,No,4,0,121833
Bachelors,2015,New,Delhi,2,27,Female,No,5,103204
Bachelors,2018,Bangalore,3,24,Female,No,2,1,59488
Bachelors,2013,Bangalore,3,27,Female,No,5,0,133905
Bachelors,2013,Bangalore,3,24,Male,Yes,2,0,118215
Bachelors,2013,Bangalore,3,24,Female,No,2,0,56176
Bachelors,2013,Bangalore,3,27,Male,No,5,0,132437
Bachelors,2017,Bangalore,3,26,Female,No,4,0,107681
Bachelors,2015,Bangalore,3,24,Female,No,2,0,72896
Bachelors,2012,Pune,3,24,Female,No,2,1,73245
Bachelors,2016,Bangalore,3,24,Male,Yes,2,1,138471
Bachelors,2012,Bangalore,3,28,Male,No,3,0,146723
Bachelors,2017,New,Delhi,2,27,Male,No,5,95099
Bachelors,2012,Pune,2,27,Female,No,5,1,97618
Masters,2017,Pune,2,27,Male,No,5,0,120725
Bachelors,2017,Pune,2,24,Male,No,2,1,127531
Bachelors,2016,Pune,1,26,Female,No,4,1,90500
Bachelors,2015,Pune,3,26,Female,No,4,1,81518
Bachelors,2016,Bangalore,3,25,Male,No,3,1,107216
Bachelors,2012,Pune,3,26,Male,No,4,0,106761
Bachelors,2017,Bangalore,3,28,Male,No,2,0,97761
Bachelors,2012,Bangalore,3,25,Male,No,3,0,124621
Bachelors,2017,Bangalore,3,25,Female,Yes,3,0,95548
Masters,2017,Pune,2,26,Male,No,4,0,94692
Masters,2017,Pune,3,28,Male,No,1,1,72979
Masters,2015,Pune,2,25,Female,No,3,1,128357
Bachelors,2017,New,Delhi,2,26,Female,No,4,148713
Bachelors,2017,New,Delhi,2,26,Male,No,4,83511
Bachelors,2016,Bangalore,3,27,Male,No,5,0,67500
Bachelors,2017,New,Delhi,3,27,Female,No,5,82779
Bachelors,2015,New,Delhi,3,24,Female,No,2,95014
Masters,2017,Bangalore,1,26,Female,No,4,1,102116
Bachelors,2017,New,Delhi,1,28,Female,No,2,97009
Bachelors,2015,Bangalore,3,24,Male,No,2,0,112817
Masters,2015,Pune,2,25,Female,No,3,1,84218
Bachelors,2014,Bangalore,3,25,Female,No,3,0,71722
Bachelors,2014,Bangalore,3,28,Male,No,2,0,91380
Bachelors,2017,Bangalore,3,28,Male,No,3,0,79093
Masters,2015,New,Delhi,1,27,Male,No,5,91171
Bachelors,2014,Pune,1,26,Female,No,4,1,64141
Masters,2018,Bangalore,3,25,Male,Yes,3,1,55003
Bachelors,2016,Bangalore,3,28,Female,No,3,0,116648
Bachelors,2018,New,Delhi,3,26,Female,Yes,4,111715
Bachelors,2015,Pune,2,24,Female,No,2,1,104426
Bachelors,2017,Bangalore,3,27,Male,Yes,5,0,91406
Bachelors,2014,Bangalore,3,26,Male,No,4,0,76005
Bachelors,2014,Bangalore,3,24,Male,No,2,0,142787
Bachelors,2016,Bangalore,3,28,Male,No,2,0,118143
Bachelors,2015,Pune,2,25,Female,No,3,1,111033
Bachelors,2013,Pune,3,27,Male,No,5,0,72516
Bachelors,2015,Bangalore,3,28,Male,No,3,0,63915
Bachelors,2014,Bangalore,3,26,Male,No,4,0,139171
Bachelors,2012,Bangalore,3,24,Male,No,2,0,142266
Bachelors,2013,Bangalore,3,27,Male,No,5,0,128460
Bachelors,2015,Bangalore,3,26,Female,Yes,4,1,149507
Bachelors,2015,Pune,3,28,Male,No,2,0,67831
Bachelors,2014,New,Delhi,2,24,Female,No,2,76933
Bachelors,2013,Bangalore,3,24,Male,No,2,0,96590
Bachelors,2018,Bangalore,3,28,Male,Yes,3,1,146257
Bachelors,2015,Pune,3,27,Male,No,5,0,129460
Bachelors,2014,Pune,2,26,Male,No,4,0,124095
Bachelors,2016,Bangalore,3,25,Male,No,3,1,138064
PHD,2013,Bangalore,3,25,Male,No,3,0,125441
Bachelors,2014,Bangalore,3,25,Male,No,3,0,75423
Bachelors,2017,New,Delhi,2,28,Female,No,1,94445
Bachelors,2015,Pune,1,26,Female,No,4,1,109310
Masters,2017,New,Delhi,3,26,Male,Yes,4,70487
Bachelors,2014,Bangalore,3,27,Male,No,5,0,118431
Bachelors,2012,New,Delhi,3,24,Female,No,2,93348
Bachelors,2017,New,Delhi,2,24,Male,No,2,87829
Bachelors,2015,Bangalore,3,26,Male,No,4,0,66507
Bachelors,2012,Bangalore,3,26,Female,No,4,0,149108
Bachelors,2015,Bangalore,3,24,Male,No,2,0,97560
Masters,2014,Pune,3,25,Male,No,3,0,122286
Bachelors,2015,Bangalore,3,28,Male,No,2,0,65156
Bachelors,2016,Pune,3,24,Male,No,2,0,123683
Bachelors,2016,Bangalore,3,26,Female,No,4,0,101940
Bachelors,2015,Pune,2,25,Female,Yes,3,1,146364
Masters,2013,New,Delhi,2,25,Male,No,3,146836
Bachelors,2017,Pune,3,25,Male,No,3,0,85347
Bachelors,2015,Pune,2,26,Female,Yes,4,1,62908
Masters,2015,Bangalore,2,26,Female,No,4,1,122923
Bachelors,2012,Pune,3,27,Female,No,5,0,75846
Masters,2017,New,Delhi,3,28,Male,Yes,2,109846
Bachelors,2016,Pune,3,25,Male,No,3,0,148552
Bachelors,2016,Bangalore,3,24,Male,No,2,0,126294
Bachelors,2016,Pune,3,28,Male,No,1,0,137921
Bachelors,2013,New,Delhi,3,27,Female,Yes,5,64259
Bachelors,2015,New,Delhi,3,26,Male,No,4,148038
Bachelors,2016,Bangalore,3,27,Male,No,5,0,125873
Bachelors,2017,Pune,2,27,Male,No,5,0,55958
Bachelors,2012,Bangalore,3,27,Male,No,5,0,124691
PHD,2018,New,Delhi,3,25,Male,No,3,80722
Bachelors,2014,Pune,3,27,Male,No,5,0,122444
Bachelors,2013,Bangalore,3,26,Female,No,4,0,60367
Masters,2017,Pune,2,24,Female,No,2,1,135521
PHD,2016,New,Delhi,2,28,Male,No,3,56568
Masters,2014,New,Delhi,3,26,Male,No,4,100401
Masters,2017,New,Delhi,2,27,Male,Yes,5,88653
PHD,2013,New,Delhi,3,27,Male,No,5,100176
Masters,2014,New,Delhi,3,28,Female,No,1,83549
Bachelors,2017,Pune,3,27,Male,No,5,0,118206
Bachelors,2015,Pune,3,26,Female,Yes,4,1,94327
Masters,2014,Bangalore,3,26,Male,No,4,1,72666
Masters,2012,Pune,3,27,Male,No,5,0,70316
Bachelors,2017,Bangalore,3,26,Male,No,4,0,101786
Masters,2017,Pune,2,27,Male,No,5,1,145960
Bachelors,2017,Bangalore,3,27,Male,No,5,0,130472
Bachelors,2016,Bangalore,3,25,Male,No,3,1,135774
Bachelors,2016,Pune,3,27,Male,Yes,5,0,117011
Bachelors,2014,Pune,3,25,Male,No,3,0,138387
Bachelors,2017,Bangalore,3,28,Male,No,1,0,89921
Masters,2012,Pune,3,24,Male,No,2,0,106724
Bachelors,2014,Bangalore,3,25,Male,Yes,3,0,117399
Bachelors,2013,Pune,2,25,Male,No,3,1,126979
Bachelors,2012,Pune,3,27,Male,No,5,0,117449
Bachelors,2017,Bangalore,3,26,Male,No,4,0,93686
Bachelors,2013,Pune,3,26,Male,No,4,0,92292
Bachelors,2016,Bangalore,3,24,Male,No,2,0,115752
Bachelors,2014,Bangalore,3,25,Female,No,3,0,89048
Bachelors,2015,New,Delhi,3,25,Male,No,3,133519
PHD,2012,Pune,3,24,Male,No,2,0,111792
Bachelors,2013,Bangalore,3,27,Male,No,5,0,137343
Bachelors,2015,Bangalore,3,25,Male,No,3,0,119484
Bachelors,2016,Bangalore,3,26,Male,No,4,0,89670
Masters,2015,New,Delhi,3,24,Female,No,2,86863
Bachelors,2012,Bangalore,3,26,Male,No,4,0,66430
Bachelors,2013,Pune,3,24,Male,No,2,0,85210
Masters,2017,New,Delhi,3,24,Male,No,2,68520
Bachelors,2014,Bangalore,1,25,Male,Yes,3,0,119641
Bachelors,2018,Bangalore,3,28,Male,No,1,1,55033
Bachelors,2017,Bangalore,3,28,Male,Yes,3,0,94938
